drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftCI
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftCK
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftCS
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftCW
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftFD
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftG
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftGI
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftGM
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftGR
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftH == lib/font/ftG
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftHI == lib/font/ftGI
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftHM == lib/font/ftGM
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftI
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftL
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftLI
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftPA
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftPB
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftPI
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftR
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftS
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftSB
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftSI
-rw-r--r--  1 2        kmem           224 Apr 30  1984 lib/font/ftSM
-rw-r--r--  2 2        kmem           224 Apr 30  1984 lib/font/ftUD == lib/font/ftFD
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/help
-rw-rw-r--  1 2        kmem          4158 Apr 30  1984 lib/help/ad
-rw-rw-r--  1 2        kmem          1253 Apr 30  1984 lib/help/bd
-rw-rw-r--  1 2        kmem           662 Apr 30  1984 lib/help/cb
-rw-rw-r--  1 2        kmem          2185 Apr 30  1984 lib/help/cm
-rw-rw-r--  1 2        kmem          5351 Apr 30  1984 lib/help/cmds
-rw-rw-r--  1 2        kmem          4149 Apr 30  1984 lib/help/co
-rw-rw-r--  1 2        kmem          3347 Apr 30  1984 lib/help/de
-rw-rw-r--  1 2        kmem           169 Apr 30  1984 lib/help/default
-rw-rw-r--  1 2        kmem          2044 Apr 30  1984 lib/help/ge
-rw-rw-r--  1 2        kmem           323 Apr 30  1984 lib/help/he
-rw-rw-r--  1 2        kmem           497 Apr 30  1984 lib/help/prs
-rw-rw-r--  1 2        kmem          2275 Apr 30  1984 lib/help/rc
-rw-rw-r--  1 2        kmem          1712 Apr 30  1984 lib/help/term
-rw-rw-r--  1 2        kmem          2239 Apr 30  1984 lib/help/text
-rw-rw-r--  1 2        kmem           639 Apr 30  1984 lib/help/un
-rw-rw-r--  1 2        kmem          2320 Apr 30  1984 lib/help/ut
-rw-rw-r--  1 2        kmem          2431 Apr 30  1984 lib/help/vc
-rwxrwxr-x  1 2        kmem         12862 Apr 30  1984 lib/hp2631a
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 lib/lex
-rw-rw-rw-  1 2        kmem          3986 Apr 30  1984 lib/lex/ncform
-rw-rw-rw-  1 2        kmem          3115 Apr 30  1984 lib/lex/nrform
-rwxrwxr-x  1 2        kmem          1633 Apr 30  1984 lib/lib.b
